"State","District","Year","Arecanut - Area (Hectare)","Arecanut - Production (Tonnes)","Arecanut - Yield (Tonne/Hectare)","Coconut - Area (Hectare)","Coconut - Production (Nuts)","Coconut - Yield (Nuts/Hectare)","Coriander - Area (Hectare)","Coriander - Production (Tonnes)","Coriander - Yield (Tonne/Hectare)","Dry chillies - Area (Hectare)","Dry chillies - Production (Tonnes)","Dry chillies - Yield (Tonne/Hectare)","Garlic - Area (Hectare)","Garlic - Production (Tonnes)","Garlic - Yield (Tonne/Hectare)","Turmeric - Area (Hectare)","Turmeric - Production (Tonnes)","Turmeric - Yield (Tonne/Hectare)","Banana - Area (Hectare)","Banana - Production (Tonnes)","Banana - Yield (Tonne/Hectare)","Onion - Area (Hectare)","Onion - Production (Tonnes)","Onion - Yield (Tonne/Hectare)","Sugarcane - Area (Hectare)","Sugarcane - Production (Tonnes)","Sugarcane - Yield (Tonne/Hectare)","Sweet potato - Area (Hectare)","Sweet potato - Production (Tonnes)","Sweet potato - Yield (Tonne/Hectare)","Sannhamp - Area (Hectare)","Sannhamp - Production (Tonnes)","Sannhamp - Yield (Tonne/Hectare)","Arcanut (Processed) - Area (Hectare)","Arcanut (Processed) - Production (Tonnes)","Arcanut (Processed) - Yield (Tonne/Hectare)","Atcanut (Raw) - Area (Hectare)","Atcanut (Raw) - Production (Tonnes)","Atcanut (Raw) - Yield (Tonne/Hectare)","Brinjal - Area (Hectare)","Brinjal - Production (Tonnes)","Brinjal - Yield (Tonne/Hectare)","Citrus Fruit - Area (Hectare)","Citrus Fruit - Production (Tonnes)","Citrus Fruit - Yield (Tonne/Hectare)","Grapes - Area (Hectare)","Grapes - Production (Tonnes)","Grapes - Yield (Tonne/Hectare)","Mango - Area (Hectare)","Mango - Production (Tonnes)","Mango - Yield (Tonne/Hectare)","Other Fresh Fruits - Area (Hectare)","Other Fresh Fruits - Production (Tonnes)","Other Fresh Fruits - Yield (Tonne/Hectare)","Papaya - Area (Hectare)","Papaya - Production (Tonnes)","Papaya - Yield (Tonne/Hectare)","Pome Fruit - Area (Hectare)","Pome Fruit - Production (Tonnes)","Pome Fruit - Yield (Tonne/Hectare)","Tomato - Area (Hectare)","Tomato - Production (Tonnes)","Tomato - Yield (Tonne/Hectare)","Cotton(lint) - Area (Hectare)","Cotton(lint) - Production (Bales)","Cotton(lint) - Yield (Bales/Hectare)","Mesta - Area (Hectare)","Mesta - Production (Bales)","Mesta - Yield (Bales/Hectare)","Cashewnut - Area (Hectare)","Cashewnut - Production (Tonnes)","Cashewnut - Yield (Tonne/Hectare)","Tobacco - Area (Hectare)","Tobacco - Production (Tonnes)","Tobacco - Yield (Tonne/Hectare)","Black pepper - Area (Hectare)","Black pepper - Production (Tonnes)","Black pepper - Yield (Tonne/Hectare)","Ginger - Area (Hectare)","Ginger - Production (Tonnes)","Ginger - Yield (Tonne/Hectare)","Tapioca - Area (Hectare)","Tapioca - Production (Tonnes)","Tapioca - Yield (Tonne/Hectare)","Cardamom - Area (Hectare)","Cardamom - Production (Tonnes)","Cardamom - Yield (Tonne/Hectare)","Dry Ginger - Area (Hectare)","Dry Ginger - Production (Tonnes)","Dry Ginger - Yield (Tonne/Hectare)","Potato - Area (Hectare)","Potato - Production (Tonnes)","Potato - Yield (Tonne/Hectare)","Peas & beans (Pulses) - Area (Hectare)","Peas & beans (Pulses) - Production (Tonnes)","Peas & beans (Pulses) - Yield (Tonne/Hectare)","Cashewnut Processed - Area (Hectare)","Cashewnut Processed - Production (Tonnes)","Cashewnut Processed - Yield (Tonne/Hectare)","Cashewnut Raw - Area (Hectare)","Cashewnut Raw - Production (Tonnes)","Cashewnut Raw - Yield (Tonne/Hectare)"
"Karnataka","Bangalore rural","2018 - 2019","2924","26108","8.93","3116","22069000","7082.48","145","130","0.9","","","","4","27","6.75","5","29","5.8","","","","","","","59","5044","85.49","23","334","14.52","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","49","59","1.2","3","2","0.67","","","","111","1708.3","15.39","4","53","13.25","2","0.2","0.1","","","","","",""
"Karnataka","Bangalore rural","2019 - 2020","2780","30046","10.81","3141","25890000","8242.6","","","","","","","","","","3","19","6.33","","","","","","","109","9152","83.96","35","675","19.29","2","1","0.5","","","","","","","","","","","","","","","","","","","","","","","1","","0","111","157","1.41","2","2","1","","","","179","1872.2","10.46","11","140","12.73","2","","0","","","","","",""
"Karnataka","Bangalore rural","2020 - 2021","3014","33944","11.26","2989","23801","7.96","8","4","0.5","","","","1","5","5","6","38","6.33","","","","","","","79","7584","96","11","219","19.91","","","","3014","6788","2.25","","","","","","","","","","","","","","","","","","","","","112","142","1.27","3","2","0.67","","","","12","5.7","0.48","535","6255.8","11.69","20","257","12.85","1","0.17","0.17","535","1345.5","2.51","","",""
"Karnataka","Bangalore rural","2021 - 2022","3451","38588","11.18","2720","23518000","8646.32","","","","","","","4","22","5.5","2","11","5.5","","","","","","","117","11196","95.69","1","18","18","","","","3451","7719","2.24","","","","","","","","","","","","","","","","","","","","","117","165","1.41","","","","","","","11","5.9","0.54","356","4160.3","11.69","6","76","12.67","","","","356","894.7","2.51","","",""
"Karnataka","Bangalore rural","2022 - 2023","4028","38063","9.45","2819","38362475","13608.54","5","3","0.6","","","","5","29","5.8","1","6","6","","","","","","","161","14465","89.84","10","211","21.1","","","","4028","7613","1.89","","","","","","","","","","","","","","","","","","","","","110","514","4.67","","","","","","","6","3.4","0.57","221","1665.53","7.54","1","20","20","1","2","2","221","358.1","1.62","","",""
"Karnataka","Belgaum","2015 - 2016","4","39","9.75","88","736000","8363.64","197","126","0.64","","","","1013","1535","1.52","2244","4798","2.14","","","","","","","175778","14528052","82.65","1878","34643","18.45","17","4","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1674","3397","2.03","","","","3","2.3","0.77","","","","440","3294","7.49","","","","","","","","",""
"Karnataka","Belgaum","2016 - 2017","3","30","10","86","672000","7813.95","234","140","0.6","","","","762","1009","1.32","6047","45455","7.52","","","","","","","163511","10718146","65.55","2322","30017","12.93","1","","0","","","","","","","","","","","","","","","","","","","","","","","","","1674","5053","3.02","10561","16093","1.52","6","3.6","0.6","","","","2","51","25.5","","","","","","","","",""
"Karnataka","Belgaum","2017 - 2018","","","","654","5171000","7906.73","","","","","","","453","830","1.83","4663","33005","7.08","","","","","","","208729","20622425","98.8","1888","27665","14.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1735","5139","2.96","12169","20451","1.68","","","","","","","5","129","25.8","","","","","","","","",""
"Karnataka","Belgaum","2018 - 2019","12","107","8.92","371","2628000","7083.56","242","216","0.89","","","","295","1082","3.67","8888","57461","6.47","","","","","","","206864","19062518","92.15","4341","63368","14.6","19","5","0.26","","","","","","","","","","","","","","","","","","","","","","","","","20","29","1.45","5175","7572","1.46","8217","10015","1.22","","","","","","","2","30.8","15.4","","","","","","","","",""
"Karnataka","Belgaum","2019 - 2020","9","97","10.78","359","2959000","8242.34","","","","","","","95","700","7.37","6710","48540","7.23","","","","","","","189896","17732573","93.38","3850","79020","20.52","195","116","0.59","","","","","","","","","","","","","","","","","","","","","","","","","5","","0","5100","6311","1.24","6479","8266","1.28","","","","","","","7","73.2","10.46","42","533","12.69","7","1","0.14","","","","","",""
